Flight Index,Delay (seconds)
MF8151,0
CZ6321,0
3U6695,11323
ZH8741,0
NS3317,0
FM9069,0
HU7639,0
CZ6629,0
CA4361,0
MU9953,0
MU5989,0
HU7039,12496
CA4343,0
HU7793,0
CZ3257,0
CA1777,0
ZH9651,0
3U6989,0
EU2261,0
MU2510,0
JD5269,0
CA1231,0
JD5739,16276
3U3171,0
ZH9608,0
DZ6278,0
CA9707,0
CZ3895,0
CA8661,0
MU6857,0
3U8629,0
FM9556,0
PN6339,0
SC2126,0
CZ399Y,3183
MU5285,0
HU7223,0
CZ6835,0
CZ8734,0
GY7145,0
CZ3477,0
HU7595,9670
ZH9441,0
CA2853,0
MF8735,0
CA8507,0
HU6019,0
KN5517,0
CA1789,0
MU5424,0
HO1161,0
3U8354,0
MU5512,0
9C6195,0
FU6593,0
GS7993,0
MU2875,0
MU9011,0
9C8907,7392
9C8659,0
CZ3661,0
CZ3339,0
MU6802,0
PN6269,0
FM9523,0
SC1155,0
GJ8871,17582
MF8176,12077
MU2778,0
CZ2714,0
CN7669,0
HU7171,0
KN2921,0
CA1109,7661
CA1606,0
MU7619,0
PN6274,0
KN2381,0
3U6748,0
CX958,0
KY3125,0
CZ3182,0
9C8956,0
HO1091,0
CZ3887,1485
9C7635,0
CZ3375,0
MU6137,0
HU7679,17614
BK2935,14864
8L9671,0
CA1213,0
8L9631,0
CZ3363,0
8L9607,0
ZH9123,0
3U6838,0
FM9072,0
HU7037,0
MU5395,0
MU6341,0
KN2309,0
CZ6137,0
3U6940,0
FD570,0
TV9953,0
CA9801,0
GY7107,0
HU7407,0
MU5183,0
ZH9834,0
RY8924,9040
DR5079,0
GX8953,14900
MU5172,6950
GS7523,0
HU7536,0
3U6961,10928
KN2819,0
MF8261,6724
MU2753,18160
SC2108,0
CZ3811,0
MU6445,0
HU7769,0
CA1417,92
8L9563,0
GS7641,0
DR5333,0
HU7211,0
3U8215,0
KN2305,844
MU5551,11738
EU2793,0
HX452,0
MU9765,0
KN5737,0
MU2713,13794
GJ8881,0
HO1741,0
MF8779,0
HU7828,0
MU2411,0
KN5971,16509
MU5544,0
KY8225,0
CA8561,0
HU7119,0
H9774,0
CZ6425,0
SC8038,0
CZ6877,15695
CZ8677,0
CA8155,0
HO2058,14534
CZ8625,2647
CZ6201,0
HU7927,4135
CZ642U,0
MU6705,0
9C6823,0
MF8829,0
MU9857,0
CZ3116,0
CZ6738,0
MF8401,0
CZ6439,3749
SC8873,0
JD5315,0
CA8615,0
TV9895,0
MU5585,0
JD5177,0
SC7940,0
MF8117,0
CZ8703,0
MU6725,0
8L9883,13984
MU2701,0
MU5177,0
MF8365,0
MU2291,0
CA8541,0
HU7721,2797
UQ2567,3164
HO1908,0
FM9384,0
MU2823,1965
ZH9656,0
MU2687,0
9C7395,0
CZ629,11586
ZH9927,0
CA1461,0
MU5421,0
ZH9393,0
CA9663,9425
MF8611,0
DZ6377,0
MU5620,0
MU2249,0
HO1515,0
SC2213,0
SC1156,18227
MF8305,0
HO1191,0
MF8079,0
MF8407,0
EU2783,0
CZ2856,0
GS7521,0
MF8395,0
MU9966,0
CZ3314,8763
MU5662,8954
GS7531,0
ZH8529,0
GS7685,0
MU2329,4694
CA8951,0
3U3343,0
HU7611,1004
MU6415,17382
KN5561,0
HU7697,0
KN5289,0
QW6047,0
CZ3705,0
MU6864,0
CZ8580,0
MU5534,1723
HU7702,0
CZ6821,0
CZ5338,2673
BK2993,0
SC8857,0
CA4018,0
HO1579,0
FM9441,0
9C8624,0
8L9863,14087
3U8977,15945
CZ3378,0
HU7574,0
PR334,0
FM9537,0
CA2861,6698
TR173,0
CZ6552,0
MU6553,8372
MU5795,0
MF8104,16298
NS3283,0
9C6359,0
MU6681,0
CA101,0
SC7601,0
LJ820,0
CZ6277,0
SC8845,1386
CA4377,0
HU439,0
MU5602,10258
CA1582,0
Y87587,0
JD5137,0
ZH9816,0
CZ3986,683
CZ6541,0
UQ3527,0
CA8229,0
CA1267,0
ZH8995,0
NS8037,0
EU1801,0
8L9679,14276
JD5627,0
HU7277,0
EU2746,0
HU7213,0
3U8725,0
CA2527,0
MU7602,0
CA4275,0
CA8681,16710
CA2563,0
MF8219,0
CA4471,0
3U8635,0
G54935,0
ZH8209,3368
3U8055,6464
HO2092,0
MU5327,0
3U3415,0
ZH9794,16191
EU1996,0
MF842,0
MF8061,0
CA4048,0
JD5559,0
EU2249,0
9C6317,0
CZ3252,0
FM9469,0
MU9564,0
FM9352,0
KR991,0
CZ6123,0
9C7206,0
SC7665,0
CZ6173,0
CZ6299,15130
HU7647,0
MU9927,9406
CZ8905,2958
HO1564,0
CZ6778,0
TV9807,0
ZH9151,0
CZ307T,0
FM9245,0
GJ8697,0
HO1686,0
CZ5851,0
CA4049,0
MU6549,0
ZH9567,0
CZ3457,3391
EU2844,0
MU5947,0
MF8601,0
HO1905,5654
3U8691,14344
MF8363,0
CZ6337,0
MU5081,0
CZ5782,0
9C8917,0
CZ3625,0
JD5329,0
EU2259,0
9C8843,10965
HO1722,3096
CZ6585,0
MF8155,0
3U3321,0
JD5541,0
SC7941,0
MU5223,0
9C6803,0
ZH9112,4634
CZ8540,0
SC4677,0
GS7693,0
9C6325,0
KN5966,2776
MU6459,0
MU6358,0
CA4543,0
DZ6205,0
NS3233,0
CA2899,0
3U8667,0
KY3051,0
JD5387,0
MU2925,0
EU1861,0
CA2642,0
CZ3497,0
HO1181,0
MF8295,0
HO2045,0
HO1217,0
SC4877,0
CA1603,2528
HU7077,0
CZ6661,0
DR5359,0
MF8781,0
CZ8262,0
CZ2823,0
MU2181,0
CZ3770,0
HU7578,0
MU5863,0
KN2828,0
EU2770,0
9C8899,0
CA2891,0
ZH9941,0
FM9302,0
MU5655,11937
CZ6692,0
9H8337,0
CA8143,0
CZ3533,0
MU6431,0
HO2035,0
CZ2739,0
CZ3929,0
CA8159,0
DZ6297,0
MU2989,0
MU2577,0
MU5021,0
MU2703,0
MU6151,0
CA1405,0
BK2921,0
SC8701,0
MU6511,0
CA4594,0
KY8233,0
CZ665,8192
SC4715,15747
KN2325,0
CZ3994,0
DR6579,16905
HU7393,0
MU5368,0
PN6247,0
MU6327,0
MU2301,0
JD570U,14335
CA2644,7275
PN6282,0
MU2135,0
CA8585,0
KN5755,0
JD5161,0
MF8085,0
PN6415,0
CZ3875,7357
9C6314,3246
KN5821,0
EU2235,0
HU7329,0
TV6045,9400
DR6521,0
EU1823,0
JD5345,0
MU5815,0
CZ6624,0
MF8767,0
CA2557,0
GS7797,7066
JD5550,0
3U8781,0
9C6336,0
SC8789,0
AK156,9440
8L9617,0
MU6764,7813
CZ3280,0
MU6302,0
CA1737,0
8L9865,16378
CA155,0
HU7783,16887
MF8137,0
HU7852,0
CA1895,0
HU7023,11561
ZH8243,0
HO1139,0
MU2261,0
HU7189,11816
3U3349,17237
CX345,0
CZ2460,0
3U6620,0
MU6221,15405
HO1015,12677
3U3233,0
HU7207,0
FU6721,2213
MU5173,0
MU2929,0
EU2795,0
CZ2681,0
MU5571,0
FU6529,0
CZ6517,17891
GX2025,0
CA4561,0
EU2751,0
8L9501,0
GJ8181,0
9C8914,0
A67139,0
CA8346,14997
KY3209,6605
SC2176,6536
QW9825,0
HO1018,0
3U6335,0
SC2105,0
CZ590Z,0
9C8523,0
CZ8936,6262
EU2413,0
8L9595,0
9H6007,10876
MU6255,0
CZ3336,0
3U3287,0
MU5131,0
CZ3201,0
MF8491,0
HU7218,0
CZ6665,0
CZ206Z,0
ZH9398,0
CA4407,0
HU7653,0
CZ3247,13910
UQ2505,5913
MF8529,0
CA4477,0
9C6397,9687
3U8089,0
CZ5174,0
LT1331,0
CZ3723,0
CZ6370,0
SC8850,11552
MU6657,0
ZH8952,0
JD5247,0
CA8547,0
SC1185,13310
BK2733,0
MU5671,0
MU5193,0
SQ828,0
MU5296,14358
CA4330,2203
9C6269,0
MU9893,0
MU5469,0
CZ5117,0
CX366,5027
MU6451,0
CN7139,0
CZ3641,0
HO2003,0
CZ6848,0
CA4354,0
HO1245,0
8L9963,0
CZ6659,0
CZ6657,6096
CX982,0
MU6646,0
MU5100,0
CA8202,0
ZH9873,0
MU9028,0
AE967,0
MU2303,0
CA8577,0
CA2759,0
MF868,2426
QW6013,0
JD5129,0
DR6583,0
ZH9323,10472
SC8714,0
CZ5721,0
CZ5127,0
K6896,0
CZ8515,0
CA8133,0
MU2953,0
MU2227,0
HU7631,0
JD5527,0
KY8213,0
RY8901,0
CA8553,0
3U8169,0
HU7458,0
MU6559,0
HU7075,0
MU2402,0
PN6249,0
QW9833,2825
CZ5819,13046
MU2975,0
CA4503,0
CZ3230,0
HO1047,0
CZ8976,0
MF8092,10388
MU5496,0
G52793,0
EU2791,0
9C6855,0
HO1065,0
ZH9351,0
MU2971,0
CA4119,0
MF8229,0
MU2333,0
HU7131,0
SC4849,4068
G52770,0
CA4370,0
MU726,0
QV815,0
MU5279,0
Y87507,0
KE859,0
SC4723,0
CZ5839,6432
MU6662,0
CZ2835,0
MU9607,9922
ZH9188,0
HO1144,5525
HU7541,0
KY3027,0
3U8890,0
HO1697,0
HU7161,0
ZH9747,0
GS7869,0
G52925,929
JD5763,8672
8L9508,0
CZ5404,0
9C8975,0
HU7429,0
3K833,0
8L9637,0
NS3311,0
RY8929,0
8L9809,0
GJ8887,0
GX8815,0
CI511,0
GS7435,1963
CA2878,0
CA9661,0
JD5857,0
3U6753,0
GY7139,10463
CA1822,0
ZH8676,0
3U8251,0
SC2269,12141
ZH8565,0
CZ5854,7921
MF8861,0
CZ6257,0
G54301,0
CZ3893,9509
CA1507,0
3U8571,0
CZ2837,0
EU2243,0
MF8609,0
SC4745,0
CZ5545,0
